__yearly__,ea_nf,at_nf_to_nw,at_nf,be_nf_to_nw,be_nf,cy_nf_to_nw,cy_nf,ee_nf_to_nw,ee_nf,fi_nf_to_nw,fi_nf,fr_nf_to_nw,fr_nf,de_nf_to_nw,de_nf,gr_nf_to_nw,gr_nf,ie_nf_to_nw,ie_nf,it_nf_to_nw,it_nf,lv_nf_to_nw,lv_nf,lt_nf_to_nw,lt_nf,lu_nf_to_nw,lu_nf,mt_nf_to_nw,mt_nf,nl_nf_to_nw,nl_nf,pt_nf_to_nw,pt_nf,sk_nf_to_nw,sk_nf,si_nf_to_nw,si_nf,es_nf_to_nw,es_nf,hr_nf_to_nw,hr_nf,ea_nf_to_nw,cn_nf_to_nw,cn_nf,us_nf_to_nw,us_nf,,__eof__
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,__eof__
1991Y,141130.781135215,0.67959,3556.474221555,0.60234,4012.90322343,0.67187,352.138152855,0.77418,800.66043981,0.75667,2549.937418155,0.66911,24900.298013825,0.71767,39383.752777985,0.58062,4046.20665678,0.65344,1418.283352,0.6098,23836.4069514,0.68102,1212.2973224,0.75752,1907.12742812,0.61544,164.20585412,0.57211,139.84885684,0.6789,7026.89776185,0.70353,4659.08802732,0.76054,2605.16094113,0.65806,898.34929288,0.59416,15495.45721556,0.6544,2165.2872272,0.662262541756066,0.83797,645944.21874542,0.74712,124023.90061512,,__eof__
1992Y,140627.95731031,0.68839,3637.635527545,0.60795,4049.4771324,0.6682,355.4673655,0.75218,764.33936579,0.74202,2511.7562505,0.67319,25097.394644455,0.70997,39079.24292461,0.58995,4159.812078675,0.63585,1401.4197585,0.58874,23094.30822395,0.69594,1227.16318095,0.75265,1890.121289525,0.6354,171.0093321,0.5743,141.8584173,0.68367,7111.808808,0.69436,4617.18257954,0.74021,2559.509611255,0.66029,904.806942075,0.59621,15722.03802507,0.65158,2131.60585257,0.657148697722388,0.836,652800.960548,0.7508,126084.7105544,,__eof__
1993Y,140791.78260341,0.68986,3669.72820636,0.61077,4069.316507385,0.66917,362.454926745,0.73826,731.57911613,0.73399,2492.79738972,0.67503,25216.158430845,0.70627,38975.92453049,0.59337,4230.243020025,0.64356,1438.52038602,0.58521,22932.60905454,0.70268,1224.75683506,0.74776,1869.51328564,0.62784,170.38667232,0.57601,143.843809245,0.68622,7173.5997738,0.68723,4589.267305215,0.71867,2509.11125642,0.66166,909.57341544,0.59884,15963.02876256,0.64835,2119.36991945,0.655788079939159,0.83425,658967.31173525,0.75052,127629.4384336,,__eof__
1994Y,141524.404888215,0.71342,3802.45333419,0.61969,4131.311800755,0.66964,370.63134274,0.74069,719.4025694,0.7267,2473.6097698,0.67666,25331.21471059,0.70622,39052.91938196,0.60184,4337.64865408,0.6513,1476.32743635,0.58185,22763.69253045,0.70313,1209.61985168,0.74278,1846.79471184,0.6283,171.93586575,0.57675,145.653310125,0.69578,7308.925377,0.68286,4582.86739224,0.69269,2442.21505493,0.66296,914.10051832,0.60622,16320.39022497,0.64483,2122.691051045,0.657265052806935,0.83247,665538.832958085,0.75252,129581.01970728,,__eof__
1995Y,141705.277432715,0.71937,3834.23922252,0.62376,4161.02436624,0.67012,379.72316294,0.72962,697.33540943,0.71907,2451.806866905,0.6784,25463.6646272,0.70221,38905.448236425,0.60881,4435.95099465,0.65147,1501.48134573,0.57976,22613.9692718,0.70486,1196.64575602,0.73777,1823.00901244,0.60786,167.88211803,0.57829,147.69121797,0.70102,7399.89666749,0.67987,4588.132269345,0.69232,2463.37425408,0.6649,919.09625675,0.60581,16449.92605086,0.64237,2104.98032589,0.656515400531627,0.83062,672658.20662397,0.75438,131576.26570902,,__eof__
1996Y,142637.39608298,0.71406,3810.20095305,0.62426,4167.38059738,0.6707,389.6123128,0.72345,683.14153635,0.71486,2442.39210572,0.6843,25765.6509138,0.7019,38960.35031485,0.61804,4548.094556,0.65925,1547.607504375,0.58404,22704.19085106,0.70565,1183.10901995,0.73252,1798.07509036,0.61155,170.5466178,0.58261,150.395819315,0.70763,7505.94392317,0.67445,4575.5564785,0.69704,2500.99450636,0.66724,924.210805,0.61201,16742.15229211,0.64023,2067.78988503,0.659404888996702,0.82865,680188.5870403,0.75643,133737.95713214,,__eof__
1997Y,143567.831938095,0.71087,3801.2067162,0.62821,4198.778798885,0.67143,400.12192275,0.71608,671.03820996,0.72721,2492.177394795,0.68275,25795.717851,0.70339,39112.62556032,0.61916,4594.7786205,0.66634,1593.90626971,0.58723,22766.267900145,0.70326,1165.50471051,0.7268,1771.762151,0.6146,173.0440103,0.58494,152.70414393,0.72307,7703.69840971,0.67504,4603.63306672,0.69233,2504.573008,0.67352,934.500581,0.62106,17100.8653629,0.63732,2030.92724976,0.662215469095243,0.82652,688561.63860018,0.7598,136261.4660006,,__eof__
1998Y,144984.076228555,0.71602,3838.86282581,0.63434,4247.30434835,0.67231,411.055376325,0.71733,669.99124131,0.72911,2509.292945685,0.68448,25948.50435312,0.70458,39227.03528445,0.63577,4751.44298925,0.68924,1679.59379272,0.59407,22965.99826587,0.70009,1148.195556165,0.72072,1744.59140856,0.61768,175.67931024,0.58554,154.72835946,0.73354,7846.83252371,0.70689,4846.289746545,0.68495,2498.555472875,0.68905,957.143851375,0.62743,17369.87376366,0.63421,1993.104813075,0.667442351603317,0.82457,696387.09484949,0.75909,138086.092643145,,__eof__
1999Y,146320.331729955,0.71829,3866.756550345,0.64631,4337.96938162,0.67333,422.265779565,0.69877,655.45813909,0.7386,2552.1573321,0.68991,26246.651452125,0.70878,39420.87677979,0.63732,4788.92317656,0.70637,1752.65725229,0.59951,23101.022844985,0.68461,1112.117110635,0.72412,1740.82647896,0.6308,181.526893,0.58624,156.7327296,0.74396,7990.13114396,0.70988,4894.08415602,0.68722,2528.30815075,0.67288,935.3519838,0.63559,17681.66952259,0.63094,1954.84487217,0.672705020636497,0.82265,703378.63187635,0.75842,139912.18510763,,__eof__
2000Y,147161.50001682,0.71427,3864.41069538,0.65282,4395.05026415,0.67444,433.62377916,0.69806,657.04722985,0.74053,2565.456216295,0.69054,26384.55041631,0.7074,39205.8407763,0.63819,4812.0291828,0.71585,1810.516008475,0.60359,23180.77677201,0.67318,1082.776371,0.71035,1694.909307,0.64168,187.57974768,0.58073,156.928054615,0.75736,8166.1243828,0.71136,4936.31661744,0.6917,2566.7437592,0.67327,936.245559015,0.65153,18208.444754005,0.62743,1916.130123335,0.676052676144399,0.82051,710957.70294629,0.7578,141790.9834692,,__eof__
