Report generated on: 11-04-2020 09:50:59
"API","","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","World","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-WORL-TBPD.A","        Total petroleum and other liquids (Mb/d)","","","","","","","","63987.8","60602","58100.1","57929.3","59563.45793989071","59156.12542984","61534.95768046341","62101.270443814006","64398.73170572238","65524.91126314932","66437.18390581224","66338.8510971412","66551.97017470587","67101.17394520548","68639.08794520548","70306.08794520548","71985.6543715847","74220.31616438356","75682.89506849315","74840.0693150685","77729.13101662204","77673.20602621877","77103.67161292638","79623.38939435485","83450.07503992923","85095.60746027397","85227.38013424657","85282.66287123288","86648.285","85850.00998356164","88558.6783150685","89052.78010958905","91126.31857377049","91688.79500273973","94259.44071232877","97101.81360547944","97583.55594808744","98142.16729589041","100740.2926109589","100608.21858904109"
"INTL.55-1-WORL-TBPD.A","            Crude oil, NGPL, and other liquids (Mb/d)","","","","","","","","63092.9","59785.5","57242.9","57123.7","58613.7","58186.9","60769.573","61257.573","63496.754","64633.954","65482.054","65316.436","65405.968","65866.55185753424","67333.12630136986","68882.70164383562","70444.79153005464","72643.31342465754","74021.4498630137","73121.78849315069","75885.20472724152","75834.70295114137","75194.85448020858","77636.92240974441","81311.17870389315","82983.14544109588","83072.49312876712","83129.67288219178","84471.69893715846","83584.00261369863","86204.30580821917","86643.14353150685","88692.05963114754","89176.5272739726","91706.6806958904","94474.18235068493","94916.54388797814","95472.0834739726","98043.35679452054","97971.37719726027"
"INTL.57-1-WORL-TBPD.A","                Crude oil including lease condensate (Mb/d)","55678.9","55716.49","52828.41","57344.4","59706.92","60157.95","62674.15","59557.56306557378","56049","53453","53249.85096164384","54498.939","53966","56325","56649","58696","59803","60498","60129","60100.199877054314","60175.738035616436","61174.09616438356","62433.127671232876","63817.762021857925","65804.76410958904","67033.66767123288","65968.42493150684","68526.65436803279","68131.91105265754","67290.1730849315","69460.24447945206","72595.18118703608","73869.21355616438","73627.39921917809","73323.82445205479","74303.00662568306","73131.3703671233","74893.98641643836","74937.59829041096","76430.03197814207","76474.21891506849","78363.07727397261","80729.85746027397","80804.78759836065","81077.24026575343","82870.46427671233","82346.31187945206"
"INTL.58-1-WORL-TBPD.A","                NGPL (Mb/d)","","","","","","","","3395.28975","3574.69","3546.8","3523.3","3727.7","3777","3999.9","4111.5","4328.4","4359.4","4522.9","4665.557","4674.6127","5061.631728767124","5376.224657534247","5573.467123287671","5704.567213114754","5843.627397260274","6003.727397260274","6181.88","6376.397733524588","6693.351243287672","6809.278142577901","7058.297662347701","7529.071587678938","7839.1881726027395","7996.397356164383","8200.40435890411","8202.821360655738","8335.56305479452","8638.224580821918","8851.433643835617","9217.003172131148","9393.92789041096","9839.675578082191","10152.886276712328","10338.19368852459","10650.11221369863","11200.403041095891","11591.233271232877"
"INTL.59-1-WORL-TBPD.A","                Other liquids (Mb/d)","","","","","","","","89","105","157","231","242","288.6","280.8","323.7","302.7","319.9","341","347.22","434.7","629.182093150685","782.8054794520548","876.1068493150685","922.4622950819672","994.9219178082192","984.054794520548","971.4835616438356","982.1526256841535","1009.4406551961641","1095.4032526991784","1118.3802679446571","1186.9259291781416","1274.743712328767","1448.6965534246576","1605.4440712328767","1965.870950819672","2117.0691917808217","2672.094810958904","2854.111597260274","3045.024480874317","3308.3804684931506","3503.9278438356164","3591.43861369863","3773.5626010928963","3744.730994520548","3972.4894767123287","4033.8320465753422"
"INTL.56-1-WORL-TBPD.A","            Refinery processing gain (Mb/d)","","","","","","","","887.7","802.9","827.4","771.9","900.9","917.8003750454794","701.6491061795","776.0735498680608","823.8889917449252","806.3639560706441","874.4592997950449","890.4302153028248","1018.3109022606569","1234.622087671233","1305.9616438356165","1423.386301369863","1540.8628415300545","1577.0027397260274","1661.445205479452","1718.2808219178082","1843.9262893805105","1838.5030750774024","1908.8171327177965","1986.466984610437","2138.896336036065","2112.4620191780823","2154.887005479452","2152.9899890410957","2176.58606284153","2266.0073698630135","2354.372506849315","2409.6365780821916","2434.2589426229506","2512.267728767123","2552.760016438356","2627.6312547945204","2667.0120601092895","2670.083821917808","2696.935816438356","2636.841391780822"
"","Afghanistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
